Artist,Album,Name
A$AP Rocky,LiveLoveA$AP,Peso
Afroman,,Crazy Rap
Joey Bada$$,ALL-AMERIKKKAN BADA$$,GOOD MORNING AMERIKKKA
Joey Bada$$,ALL-AMERIKKKAN BADA$$,FOR MY PEOPLE
Joey Bada$$,ALL-AMERIKKKAN BADA$$,TEMPTATION
Joey Bada$$,ALL-AMERIKKKAN BADA$$,LAND OF THE FREE
Joey Bada$$,ALL-AMERIKKKAN BADA$$,DEVASTATED
Joey Bada$$,ALL-AMERIKKKAN BADA$$,Y U DON'T LOVE ME? (MISS AMERIKKKA)
Joey Bada$$,ALL-AMERIKKKAN BADA$$,ROCKABYE BABY (feat. ScHoolboy Q)
Joey Bada$$,ALL-AMERIKKKAN BADA$$,"RING THE ALARM (feat. Nyck Caution, Kirk Knight & Meechy Darko)"
Joey Bada$$,ALL-AMERIKKKAN BADA$$,SUPER PREDATOR (feat. Styles P)
Joey Bada$$,ALL-AMERIKKKAN BADA$$,BABYLON (feat. Chronixx)
Joey Bada$$,ALL-AMERIKKKAN BADA$$,LEGENDARY (feat. J. Cole)
Joey Bada$$,ALL-AMERIKKKAN BADA$$,AMERIKKKAN IDOL
Joey Bada$$,B4.DA.$$,Save The Children
Joey Bada$$,B4.DA.$$,Greenbax (Introlude)
Joey Bada$$,B4.DA.$$,Paper Trail$
Joey Bada$$,B4.DA.$$,Piece Of Mind
Joey Bada$$,B4.DA.$$,Big Dusty
Joey Bada$$,B4.DA.$$,Hazeus View
Joey Bada$$,B4.DA.$$,Like Me (Feat. BJ The Chicago Kid)
Joey Bada$$,B4.DA.$$,Belly Of The Beast (Feat. Chronixx)
Joey Bada$$,B4.DA.$$,No. 99
Joey Bada$$,B4.DA.$$,Christ Conscious
Joey Bada$$,B4.DA.$$,On & On (Feat. Maverick Sabre & Dymeond Lewis)
Joey Bada$$,B4.DA.$$,Escape 120 (Feat. Raury)
Joey Bada$$,B4.DA.$$,Black Beetles
Joey Bada$$,B4.DA.$$,O.C.B.
Joey Bada$$,B4.DA.$$,Curry Chicken
Joey Bada$$,B4.DA.$$,Run Up On Ya (Feat. Action Bronson & Elle Varner)
Joey Bada$$,B4.DA.$$,Teach Me (feat. Kiesza)
Joey Bada$$,Summer Knights,47 Goonz (Prod. By Lee Bannon)
Joey Bada$$,Summer Knights,95 Til Infinity (Prod. By Lee Bannon)
Joey Bada$$,Summer Knights,LongLiveSteelo (Prod. By Kirk Knight)
Joey Bada$$,Summer Knights,Unorthodox (Prod. By DJ Premier)
Joey Bada$$,Summer Knights,B.A.R'd (Ft. Action Bronson) (Prod. Chuck Strangers)
Joey Bada$$,1999,Survival Tactics (feat. Capital STEEZ)
Joey Bada$$,,Hardknock (ft. CJ Fly)
Kendrick Lamar,DAMN.,BLOOD.
Kendrick Lamar,DAMN.,DNA.
Kendrick Lamar,DAMN.,YAH.
Kendrick Lamar,DAMN.,ELEMENT.
Kendrick Lamar,DAMN.,FEEL.
Kendrick Lamar,DAMN.,LOYALTY. (FEAT. RIHANNA.)
Kendrick Lamar,DAMN.,PRIDE.
Kendrick Lamar,DAMN.,HUMBLE.
Kendrick Lamar,DAMN.,LUST.
Kendrick Lamar,DAMN.,LOVE. (FEAT. ZACARI.)
Kendrick Lamar,DAMN.,XXX. (FEAT. U2.)
Kendrick Lamar,DAMN.,FEAR.
Kendrick Lamar,DAMN.,GOD.
Kendrick Lamar,DAMN.,DUCKWORTH.
Kid Cudi,Man On The Moon: The End Of Day,In My Dreams (Cudder Anthem)
Kid Cudi,Man On The Moon: The End Of Day,Soundtrack 2 My Life
Kid Cudi,Man On The Moon: The End Of Day,Simple As...
Kid Cudi,Man On The Moon: The End Of Day,Solo Dolo
Kid Cudi,Man On The Moon: The End Of Day,Heart of a Lion (KiD CuDi Theme Music)
Kid Cudi,Man On The Moon: The End Of Day,My World (Ft. Billy Cravens)
Kid Cudi,Man On The Moon: The End Of Day,Day n Nite
Kid Cudi,Man On The Moon: The End Of Day,Sky Might Fall
Kid Cudi,Man On The Moon: The End Of Day,Enter Galactic (Love Connection Part 1)
Kid Cudi,Man On The Moon: The End Of Day,Alive (Ft. Ratatat)
Kid Cudi,Man On The Moon: The End Of Day,CuDi Zone
Kid Cudi,Man On The Moon: The End Of Day,Make Her Say (Ft. Kanye West & Common)
Kid Cudi,Man On The Moon: The End Of Day,Pusuit of Happiness (Ft. MGMT & Ratatat)
Kid Cudi,Man On The Moon: The End Of Day,Hyyerr (Ft. Chip Tha Ripper)
Kid Cudi,Man On The Moon: The End Of Day,Up Up & Away
King Chip,,We Faded (Remix)
Wu-Tang Clan,,C.R.E.A.M.
Wu-Tang Clan,Enter Wu-Tang (36 Chambers),Tearz
A$AP Rocky,LONG.LIVE.A$AP (Deluxe Version),Long Live a$AP
A$AP Rocky,LONG.LIVE.A$AP (Deluxe Version),Goldie
A$AP Rocky,LONG.LIVE.A$AP (Deluxe Version),"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)"
A$AP Rocky,LONG.LIVE.A$AP (Deluxe Version),"1Train (feat. Kendrick Lamar, Joey Badass, Yelawolf, Danny Brown, Action Bronson & Big K.R.I.T.)"
A$AP Rocky,LONG.LIVE.A$AP (Deluxe Version),Ghetto Symphony (feat. Gunplay & a$AP Ferg)
Dr. Dre,The Chronic 2001,Still D.R.E. (feat. Snoop Dogg)
Dr. Dre,The Chronic 2001,Xxplosive (feat. Nate Dogg)
Dr. Dre,The Chronic 2001,Forgot About Dre (feat. Eminem)
Nas,It Was Written,Affirmative Action
Nas,It Was Written,The Message
Nas,It Was Written,Street Dreams
Nas,It Was Written,I Gave You Power
Nas,It Was Written,Watch Dem Niggas
Nas,It Was Written,Take It In Blood
Nas,It Was Written,Nas Is Coming
Nas,It Was Written,If I Ruled The World (Imagine That) feat. Lauryn Hill
Stop the Violence Movement (KRS One),,Self Destruction
N.W.A.,,Express Yourself
N.W.A.,,Fuck Da Police
Grandmaster Flash & The Furious Five,,The Message
Grandmaster Flash & The Furious Five,,Superrappin'
Army Of The Pharaohs,Ritual Of Battle,Dump The Clip
Snoop Dogg,Doggystyle,Gin And Juice
Snoop Dogg,,That Tree (feat. Kid Cudi)
Dr. Dre,The Chronic 2001,The Next Episode (feat. Snoop Dogg & Nate Dogg)
Lil Wayne,Dedication 5,UOENO
Lil Wayne,Free Weezy Album,Glory
Lil Wayne,I Am Not A Human Being II,Rich As Fuck (Feat. 2 Chainz)
Lil Wayne,Tha Carter III,A Millie
Lil Wayne,Tha Carter III,3 Peat
Lil Wayne,Carter IV,Blunt Blowin'
Lil Wayne,Carter IV,John (feat. Rick Ross)
Lil Wayne,Carter IV,Mega Man
Lil Wayne,Carter IV,President Carter
Mac DeMarco,Another One,The Way You'd Love Her
Mac DeMarco,Another One,Another One
Mac DeMarco,Another One,No Other Heart
Mac DeMarco,Another One,Just To Put Me Down
Mac DeMarco,Another One,A Heart Like Hers
Mac DeMarco,Another One,I've Been Waiting For Her
Mac DeMarco,Another One,Without Me
Mac DeMarco,Another One,My House By The Water
50 Cent,,Window Shopper
50 Cent,,"We Up (feat. Kendrick Lamar, Kidd Kudd)"
50 Cent,,When It Rains It Pours
50 Cent,Get Rich or Die Tryin',Many Men (Wish Death)
50 Cent,Get Rich or Die Tryin',P.I.M.P.
50 Cent,Get Rich or Die Tryin',Patiently Waiting (feat. Eminem)
Tame Impala,Innerspeaker,It Isn't Meant To Be
Tame Impala,Innerspeaker,Why Won't  You Make Up Your Mind?
Tame Impala,Innerspeaker,Solitude is Bliss
Tame Impala,Innerspeaker,The Bold Arrow of Time
Tame Impala,Innerspeaker,"Runway, Houses, City, Clouds"
Tame Impala,Lonerism,Feels Like We Only Go Backwards
Tame Impala,Tame Impala EP,Half Full Glass Of Wine
The Rolling Stones,Steel Wheels,Rock And A Hard Place
The Rolling Stones,Sticky Fingers,Brown Sugar
The Rolling Stones,Sticky Fingers,Sway
The Rolling Stones,Sticky Fingers,Wild Horses
The Rolling Stones,Sticky Fingers,Can't You Hear Me Knocking
The Rolling Stones,Sticky Fingers,You Gotta Move
The Rolling Stones,Sticky Fingers,Bitch
The Rolling Stones,Sticky Fingers,I Got The Blues
The Rolling Stones,Sticky Fingers,Sister Morphine
The Rolling Stones,Sticky Fingers,Dead Flowers
The Rolling Stones,Sticky Fingers,Moonlight Mile
The Rolling Stones,Tattoo You,Start Me Up
Red Hot Chili Peppers,Stadium Arcadium,Dani California
Red Hot Chili Peppers,Stadium Arcadium,C'mon Girl
Red Hot Chili Peppers,Stadium Arcadium,Hey
Red Hot Chili Peppers,Stadium Arcadium,Snow
Red Hot Chili Peppers,Stadium Arcadium,Under the Bridge
Red Hot Chili Peppers,Stadium Arcadium,Warlocks
Red Hot Chili Peppers,,By The Way
Red Hot Chili Peppers,,Otherside
Red Hot Chili Peppers,,Soul To Squeeze
Red Hot Chili Peppers,Californication,Californication
Pink Floyd,Wish You Were Here,"Shine on You Crazy Diamond, Pt. 1"
Pink Floyd,Wish You Were Here,Welcome to the Machine
Pink Floyd,Wish You Were Here,Have a Cigar
Pink Floyd,Wish You Were Here,Wish You Were Here
Pink Floyd,Wish You Were Here,"Shine on You Crazy Diamond, Pt. 2"
OutKast,,Hey Ya!
OutKast,,Ms. Jackson
The Outfield,,Your Love
The Movement,Set Sail,Say Hello
The Movement,Set Sail,Mexico
The Movement,Set Sail,Set Sail
The Movement,Set Sail,Impressions
The Movement,Set Sail,Green Girl
The Movement,Set Sail,Habit
The Movement,Set Sail,Cool-AId
The Movement,Set Sail,Ocho Rios
The Movement,Set Sail,Alright
The Movement,Set Sail,Sweet Summertime
The Movement,Set Sail,Throwdown
The Movement,Set Sail,Another Man's Shoes (feat. G. Love)
The Movement,Set Sail,Scream
The Movement,Set Sail,Kind
Old Man Canyon,Phantoms & Friends,In the Rain
Old Man Canyon,Phantoms & Friends,The Road
Old Man Canyon,Phantoms & Friends,Take Me Higher
Old Man Canyon,Phantoms & Friends,Phantoms and Friends
Old Man Canyon,Phantoms & Friends,Wiser
Kid Cudi,Man On The Moon II: The Legend Of Mr. Rager,Marijuana
Kid Cudi,Man On The Moon II: The Legend Of Mr. Rager,Erase Me (Feat. Kanye West)
Kid Cudi,Man On The Moon II: The Legend Of Mr. Rager,Ghost!
Kendrick Lamar,Section.80,Fuck Your Ethnicity
Kendrick Lamar,Section.80,Hol' Up
Kendrick Lamar,Section.80,A.D.H.D
Kendrick Lamar,Section.80,Ronald Reagan Era
Kendrick Lamar,Section.80,Poe Mans Dreams (feat. GLC)
Kendrick Lamar,Section.80,The Spiteful Chant (feat. SchoolBoy Q)
Kendrick Lamar,Section.80,Rigamortus
Kendrick Lamar,Section.80,Blow My High
Kendrick Lamar,Section.80,HiiiPower
Kendrick Lamar,To Pimp a Butterfly,Wesley's Theory (feat. George Clinton & Thundercat)
Kendrick Lamar,To Pimp a Butterfly,King Kunta
Kendrick Lamar,To Pimp a Butterfly,The Blacker the Berry
Kendrick Lamar,,Best Rapper Under 25
Kendrick Lamar,,Bitch Don't Kill My Vibe
Kendrick Lamar,,The Jig Is Up (Dump'n)
Kendrick Lamar,,Money Trees (Feat. Jay Rock)
Kendrick Lamar,,The Recipe (feat. Dr. Dre)
Kendrick Lamar,,"UOENO (Black Hippy Remix) (feat. ScHoolboy Q, Ab-Soul & Jay Rock)"
Derek & The Dominos,The Cream Of Clapton,Layla
Eric Clapton,The Cream Of Clapton,Cocaine
Eric Clapton,The Cream Of Clapton,Knockin' On Heaven's Door
Alex Wiley,,Spaceship II feat Chance The Rapper
Chance The Rapper,Acid Rap,"Good Ass Intro (ft. BJ The Chicago Kid, Lili K., Kiara Lanier, Peter Cottontale, Will for the O'mys"
Chance The Rapper,Acid Rap,Pusha Man (ft. Nate Fox & Lili K.) (Prod. by Ceej for Two9)
Chance The Rapper,Acid Rap,Cocoa Butter Kisses (ft. Vic Mensa & Twista) (Prod. by Cam for J.U.S.T.I.C.E League & Peter Cottont
Chance The Rapper,Acid Rap,Juice (Prod. by Nate Fox)
Chance The Rapper,Acid Rap,Lost (ft. Noname Gypsy) (Prod. by Nate Fox)
Chance The Rapper,Acid Rap,Everybody's Something (ft. Saba & BJ The Chicago Kid) (Prod. by DJ Ozone)
Chance The Rapper,Acid Rap,Interlude (That's Love) (Prod. by Ludwig Gorransen)
Chance The Rapper,Acid Rap,Favorite Song (ft. Childish Gambino) (Prod. by Nate Fox)
Chance The Rapper,Acid Rap,NaNa (ft. Action Bronson) (Prod. by Brandun Deshay)
Chance The Rapper,Acid Rap,Smoke Again (ft. Ab-Soul) (Prod. by Blended Babies)
Chance The Rapper,Acid Rap,Acid Rain (Prod. by Jake One)
Chance The Rapper,Acid Rap,Chain Smoker (Prod. by Nate Fox)
Chance The Rapper,Acid Rap,Everything's Good (Good Ass Outro) (Prod. by Cam for J.U.S.T.I.C.E League)
Aloe Blacc,,I Need A Dollar
Steve Miller Band,Fly Like an Eagle,Fly Like an Eagle
Steve Miller Band,Fly Like an Eagle,Serenade
Steve Miller Band,Fly Like an Eagle,Take the Money and Run
Steve Miller Band,The Joker,The Joker
Stevie Wonder,Superstition,Superstition
Sticky Fingers,Caress your soul,How to fly
Sticky Fingers,Caress your soul,Clouds + cream
Sticky Fingers,Caress your soul,Australia street
Sticky Fingers,Caress your soul,These girls
Sticky Fingers,Caress your soul,Sex
Sticky Fingers,Caress your soul,Bootleg rascal
Sticky Fingers,Caress your soul,Caress your soul
Sticky Fingers,Caress your soul,Laika
Sticky Fingers,Caress your soul,Freddy crabs
Sticky Fingers,Caress your soul,Kiss the breeze
Sticky Fingers,Caress your soul,Let it all out
Sticky Fingers,,Ghost Town
Spoon,Ga Ga Ga Ga Ga,The Ghost Of You Lingers
Spoon,Ga Ga Ga Ga Ga,You Got Yr. Cherry Bomb
Spoon,Ga Ga Ga Ga Ga,Eddie's Ragga
Spoon,Ga Ga Ga Ga Ga,The Underdog
Spoon,Ga Ga Ga Ga Ga,My Little Japanese Cigarette Case
Spoon,Ga Ga Ga Ga Ga,Finer Feelings
Spoon,Ga Ga Ga Ga Ga,Black Like Me
Spoon,Ga Ga Ga Ga Ga,I Got Mine
Spoon,Ga Ga Ga Ga Ga,Be Still My Servant
Spoon,Ga Ga Ga Ga Ga,Leave Your Effects Where They're Easily Seen
Spoon,Ga Ga Ga Ga Ga,I Summon You (Cool)
Spoon,Ga Ga Ga Ga Ga,Mean Mad Margaret
Spoon,Ga Ga Ga Ga Ga,Love Makes You Feel
Spoon,Ga Ga Ga Ga Ga,Tasty Fish
Spoon,Ga Ga Ga Ga Ga,Dracula's Cigarette
Spoon,Ga Ga Ga Ga Ga,1975
Spoon,Ga Ga Ga Ga Ga,I Can Feel It Fade Like an AM Single
Spoon,Ga Ga Ga Ga Ga,Curfew Tolls
Spoon,Gimme Fiction,"The Beast and Dragon, Adored"
Spoon,Gimme Fiction,Two Sides/Monsieur Valentine
Spoon,Gimme Fiction,I Turn My Camera On
Spoon,Gimme Fiction,My Mathematical Mind
Spoon,Gimme Fiction,The Delicate Place
Spoon,Gimme Fiction,Sister Jack
Spoon,Gimme Fiction,I Summon You
Spoon,Gimme Fiction,The Infinite Pet
Spoon,Gimme Fiction,Was It You?
Spoon,Gimme Fiction,They Never Got You
Spoon,Gimme Fiction,Merchants of Soul
Spoon,Girls Can Tell,Everything Hits At Once
Spoon,Girls Can Tell,Believing Is Art
Spoon,Girls Can Tell,Me And The Bean
Spoon,Girls Can Tell,Lines In The Suit
Spoon,Girls Can Tell,The Fitted Shirt
Spoon,Girls Can Tell,Anything You Want
Spoon,Girls Can Tell,Take A Walk
Spoon,Girls Can Tell,1020 Am
Spoon,Girls Can Tell,Take The Fifth
Spoon,Girls Can Tell,This Book Is A Movie
Spoon,Girls Can Tell,Chicago At Night
Spoon,Transference,Before Destruction
Spoon,Transference,Is Love Forever?
Spoon,Transference,Mystery Zone
Spoon,Transference,Who Makes Your Money
Spoon,Transference,Written In Reverse
Spoon,Transference,I Saw The Light
Spoon,Transference,Trouble
Spoon,Transference,Goodnight Laura
Spoon,Transference,Out Go The Lights
Spoon,Transference,Got Nuffin
Spoon,Transference,Nobody Gets Me But You
Spoon,Transference,Tweakers
Spoon,Transference,Strokes Their Brains
Neil Young,,Old Man
Neil Young,Freedom,Keep on Rockin' In The Free World
Neil Young,Greatest Hits: Neil Young,Heart Of Gold
Neil Young,Shared,Wild Horses
Neil Young,,Don't Let It Bring You Down
Neil Young,,Southern Man
Neil Young,,Sugar Mountain
Neil Young,,Tell Me Why
Old Man Canyon,Delirium,Learn to Forget
Old Man Canyon,Delirium,Tomorrow Man
Old Man Canyon,Delirium,Hollow Tree
Old Man Canyon,Delirium,In My Head
Old Man Canyon,Delirium,Back to the Start
Old Man Canyon,Delirium,Chances
Old Man Canyon,Delirium,I Don't Wanna Go Out
Old Man Canyon,Delirium,Always Love
Old Man Canyon,Delirium,Chasing Smoke
Old Man Canyon,Delirium,Sugar City
The Beatles,Hey Jude,Hey Jude
The Beatles,Let It Be,Get Back
The Beatles,Let It Be,Let It Be
Lynyrd Skynyrd,All Time Greatest Hits,All I Can Do Is Write About It [Acoustic Version]
Lynyrd Skynyrd,Pronounced Leh-Nerd Skin-Nerd,I Ain't the One
Lynyrd Skynyrd,Pronounced Leh-Nerd Skin-Nerd,Tuesday's Gone
Lynyrd Skynyrd,Pronounced Leh-Nerd Skin-Nerd [Expanded Edition],Simple Man
Lynyrd Skynyrd,Pronounced Leh-Nerd Skin-Nerd [Expanded Edition],Mr. Banker [*][Demo Version]
Lynyrd Skynyrd,Second Helping [Bonus Tracks],Sweet Home Alabama
Lynyrd Skynyrd,Second Helping [Bonus Tracks],Workin' for MCA
Lynyrd Skynyrd,Second Helping [Bonus Tracks],Swamp Music
Lynyrd Skynyrd,Second Helping [Bonus Tracks],The Ballad of Curtis Loew
Lynyrd Skynyrd,Second Helping [Bonus Tracks],Call Me the Breeze
Lynyrd Skynyrd,Skynyrd's First: The Complete Muscle Shoals Album,Was I Right or Wrong
Lynyrd Skynyrd,Skynyrd's First: The Complete Muscle Shoals Album,Comin' Home [Original Version]
Lynyrd Skynyrd,20th Century Masters - The Millennium Collection: The Best of Lynyrd Skynyrd,Double Trouble
Lynyrd Skynyrd,20th Century Masters - The Millennium Collection: The Best of Lynyrd Skynyrd,Gimme Three Steps
Lynyrd Skynyrd,20th Century Masters - The Millennium Collection: The Best of Lynyrd Skynyrd,Saturday Night Special
Lynyrd Skynyrd,20th Century Masters - The Millennium Collection: The Best of Lynyrd Skynyrd,Free Bird
Milky Chance,,Crazy
Milky Chance,,Intro
