Artist,Album,Name
The Beatles,Abbey Road,Something
The Beatles,Abbey Road,Maxwell's Silver Hammer
The Beatles,Abbey Road,Oh! Darling
The Beatles,Abbey Road,Octopus's Garden
The Beatles,Abbey Road,I Want You (She's So Heavy)
The Beatles,Abbey Road,Here Comes The Sun
The Beatles,Abbey Road,Because
The Beatles,Abbey Road,You Never Give Me Your Money
The Beatles,Abbey Road,Sun King
The Beatles,Abbey Road,Mean Mr. Mustard
The Beatles,Abbey Road,Polythene Pam
The Beatles,Abbey Road,She Came In Through The Bathroom Window
The Beatles,Abbey Road,Golden Slumbers
The Beatles,Abbey Road,Carry That Weight
The Beatles,Abbey Road,Her Majesty
The Beatles,Magical Mystery Tour,Magical Mystery Tour
The Beatles,Magical Mystery Tour,Fool On The Hill
The Beatles,Magical Mystery Tour,Flying
The Beatles,Magical Mystery Tour,Blue Jay Way
The Beatles,Magical Mystery Tour,Your Mother Should Know
The Beatles,Magical Mystery Tour,I Am The Walrus
The Beatles,Magical Mystery Tour,Hello Goodbye
The Beatles,Magical Mystery Tour,Strawberry Fields Forever
The Beatles,Magical Mystery Tour,Penny Lane
The Beatles,Magical Mystery Tour,Baby You're A Rich Man
The Beatles,Magical Mystery Tour,All You Need Is Love
The Beatles,Revolver,Eleanor Rigby
The Beatles,Sgt. Pepper's Lonely Hearts Club Band,Sgt. Pepper's Lonely Hearts Club Band
The Beatles,Sgt. Pepper's Lonely Hearts Club Band,With a Little Help from My Friends
The Beatles,Sgt. Pepper's Lonely Hearts Club Band,Getting Better
The Beatles,Sgt. Pepper's Lonely Hearts Club Band,Fixing a Hole
The Beatles,Sgt. Pepper's Lonely Hearts Club Band,She's Leaving Home
The Beatles,Sgt. Pepper's Lonely Hearts Club Band,Being for the Benefit of Mr. Kite!
The Beatles,Sgt. Pepper's Lonely Hearts Club Band,Within You Without You
The Beatles,Sgt. Pepper's Lonely Hearts Club Band,When I'm Sixty-Four
The Beatles,Sgt. Pepper's Lonely Hearts Club Band,Lovely Rita
The Beatles,Sgt. Pepper's Lonely Hearts Club Band,Good Morning Good Morning
The Beatles,Sgt. Pepper's Lonely Hearts Club Band,Sgt. Pepper's Lonely Hearts Club Band (Reprise)
The Beatles,White Album,"Ob-La-Di, Ob-La-Da"
The Beatles,White Album,Wild Honey Pie
The Beatles,White Album,The Continuing Story of Bungal
The Beatles,White Album,Martha My Dear
The Beatles,White Album,I'm So Tired
The Beatles,White Album,Piggies
The Beatles,White Album,Rocky Raccoon
The Beatles,White Album,Don't Pass Me By
The Beatles,White Album,Why Don't We Do It in the Road
The Beatles,White Album,I Will
The Beatles,White Album,Julia
The Beatles,White Album,Birthday
The Beatles,White Album,Yer Blues
The Beatles,White Album,Mother Nature's Son
The Beatles,White Album,Everybody's Got Something to H
The Beatles,White Album,Sexy Sadie
The Beatles,White Album,Helter Skelter
The Beatles,White Album,"Long, Long, Long"
The Beatles,White Album,Revolution 1
The Beatles,White Album,Honey Pie
The Beatles,White Album,Savoy Truffle
The Beatles,White Album,Cry Baby Cry
The Beatles,White Album,Revolution 9
The Beatles,White Album,Good Night
Chicago,The Very Best of: 40th Anniversary Collection,Just You 'N' Me
Chicago,The Very Best of: 40th Anniversary Collection,Saturday in the Park
Chicago,The Very Best of: 40th Anniversary Collection,Does Anybody Really Know What Time It Is?
Chicago,The Very Best of: 40th Anniversary Collection,25 or 6 to 4
The Doors,The Doors,Moonlight Drive (Version 1) (bonus)
The Doors,The Doors,Moonlight Drive (Version 2) (bonus)
The Doors,The Doors,Indian Summer (8.19.66 Vocal) (bonus)
The Doors,Strange Days,Strange Days
The Doors,Strange Days,You're Lost Little Girl
The Doors,Strange Days,Love Me Two Times
The Doors,Strange Days,Unhappy Girl
The Doors,Strange Days,Horse Latitudes
The Doors,Strange Days,Moonlight Drive
The Doors,Strange Days,People Are Strange
The Doors,Strange Days,My Eyes Have Seen You
The Doors,Strange Days,I Can't See Your Face in My Mind
The Doors,Strange Days,When the Music's Over
Funkadelic,Maggot Brain,Can You Get to That
Funkadelic,Maggot Brain,Hit It and Quit It
Funkadelic,Maggot Brain,"You and Your Folks, Me and My Folks"
Funkadelic,Maggot Brain,Super Stupid
Funkadelic,Maggot Brain,Back in Our Minds
Funkadelic,Maggot Brain,Wars of Armageddon
Funkadelic,One Nation Under A Groove,Promentalshitbackwashpsychosis Enema Squad (The DooDoo Chasers)
Funkadelic,One Nation Under A Groove,Into You
Funkadelic,One Nation Under A Groove,Cholly (Funk Getting Ready To Roll!)
Funkadelic,One Nation Under A Groove,Lunchmeataphobia (Think! It Ain't Illegal Yet!)
Funkadelic,One Nation Under A Groove,P.E. Squad/DooDoo Chasers
Grateful Dead,Aoxomoxoa,St. Stephen
Grateful Dead,Aoxomoxoa,Dupree's Diamond Blues
Grateful Dead,Aoxomoxoa,Rosemary
Grateful Dead,Aoxomoxoa,Doin' That Rag
Grateful Dead,Aoxomoxoa,Mountains of the Moon
Grateful Dead,Aoxomoxoa,China Cat Sunflower
Grateful Dead,Aoxomoxoa,What's Become of the Baby
Grateful Dead,Aoxomoxoa,Cosmic Charlie
Grateful Dead,Aoxomoxoa,Clementine Jam
Grateful Dead,Aoxomoxoa,Nobody's Spoonful Jam
Grateful Dead,Aoxomoxoa,The Eleven Jam
Guns N' Roses,Appetite for Destruction,Welcome To The Jungle
Guns N' Roses,Appetite for Destruction,Nightrain
Guns N' Roses,Appetite for Destruction,Paradise City
Guns N' Roses,Appetite for Destruction,Sweet Child O' Mine
Guns N' Roses,Use Your Illusion I,Live And Let Die
Guns N' Roses,Use Your Illusion I,November Rain
The Jimi Hendrix Experience,Axis: Bold as Love,EXP
The Jimi Hendrix Experience,Axis: Bold As Love,Up From The Skies
The Jimi Hendrix Experience,Axis: Bold as Love,Spanish Castle Magic
The Jimi Hendrix Experience,Axis: Bold As Love,Wait Until Tomorrow
The Jimi Hendrix Experience,Axis: Bold As Love,Ain't No Telling
The Jimi Hendrix Experience,Axis: Bold As Love,Little Wing
The Jimi Hendrix Experience,Axis: Bold As Love,If 6 Was 9
The Jimi Hendrix Experience,Axis: Bold As Love,You Got Me Floatin'
The Jimi Hendrix Experience,Axis: Bold As Love,Castles Made Of Sand
The Jimi Hendrix Experience,Axis: Bold As Love,She's So Fine
The Jimi Hendrix Experience,Axis: Bold As Love,One Rainy Wish
The Jimi Hendrix Experience,Axis: Bold As Love,Little Miss Lover
The Jimi Hendrix Experience,Axis: Bold as Love,Bold as Love
Led Zeppelin,BBC Sessions (Disc 1),You Shook Me
Led Zeppelin,BBC Sessions (Disc 1),I Can't Quit You Baby
Led Zeppelin,BBC Sessions (Disc 1),Dazed and Confused
Led Zeppelin,BBC Sessions (Disc 1),The Girl I Love She Got Long Black Wavy Hair
Led Zeppelin,BBC Sessions (Disc 1),What Is and What Should Never Be
Led Zeppelin,BBC Sessions (Disc 1),Travelling Riverside Blues
Led Zeppelin,BBC Sessions (Disc 1),Whole Lotta Love
Led Zeppelin,BBC Sessions (Disc 1),Somethin' Else
Led Zeppelin,BBC Sessions (Disc 1),Communication Breakdown
Led Zeppelin,BBC Sessions (Disc 1),How Many More Times
Led Zeppelin,Houses of the Holy,The Crunge
Led Zeppelin,Houses of the Holy,Dancing Days
Led Zeppelin,Presence,Achilles Last Stand
Led Zeppelin,Presence,Nobody's Fault But Mine
Mac DeMarco,Salad Days,Salad Days
Mac DeMarco,Salad Days,Blue Boy
Mac DeMarco,Salad Days,Brother
Mac DeMarco,Salad Days,Let Her Go
Mac DeMarco,Salad Days,Goodbye Weekend
Mac DeMarco,Salad Days,Let My Baby Stay
Mac DeMarco,Salad Days,Passing Out Pieces
Mac DeMarco,Salad Days,Treat Her Better
Mac DeMarco,Salad Days,Chamber of Reflection
Mac DeMarco,Salad Days,Go Easy
Mac DeMarco,Salad Days,Jonny's Odyssey
Milky Chance,Blossom,Blossom
Milky Chance,Blossom,Ego
Milky Chance,Blossom,Firebird
Milky Chance,Blossom,Doing Good
Milky Chance,Blossom,Clouds
Milky Chance,Blossom,Cold Blue Rain
Milky Chance,Blossom,Stay
Milky Chance,Blossom,Bad Things
Milky Chance,Blossom,Cocoon
Milky Chance,Blossom,Losing You
Milky Chance,Blossom,Peripeteia
Milky Chance,Blossom,Alive
Milky Chance,Blossom,Piano Song
Milky Chance,Blossom,Heartless
My Morning Jacket,The Waterfall (Deluxe),Believe (Nobody Knows)
My Morning Jacket,The Waterfall (Deluxe),Compound Fracture
My Morning Jacket,The Waterfall (Deluxe),Like a River
My Morning Jacket,The Waterfall (Deluxe),In Its Infancy (The Waterfall)
My Morning Jacket,The Waterfall (Deluxe),Get the Point
My Morning Jacket,The Waterfall (Deluxe),Spring (Among the Living)
My Morning Jacket,The Waterfall (Deluxe),Thin Line
My Morning Jacket,The Waterfall (Deluxe),Big Decisions
My Morning Jacket,The Waterfall (Deluxe),Tropics (Erase Traces)
My Morning Jacket,The Waterfall (Deluxe),Only Memories Remain
My Morning Jacket,The Waterfall (Deluxe),Hillside Song (Bonus Track)
My Morning Jacket,The Waterfall (Deluxe),Compound Fracture (Miami Jungle Version)
My Morning Jacket,The Waterfall (Deluxe),I Can't Wait (Bonus Track)
My Morning Jacket,The Waterfall (Deluxe),Only Memories Remain (Jim Demo)
Notorious B.I.G.,Greatest Hits: Notorious B.I.G.,Juicy (It Was All a Dream)
Outkast,Aquemini,Hold On Be Strong
Outkast,Aquemini,"Da Art of Storytellin', Pt. 1"
Outkast,Aquemini,"Da Art of Storytellin', Pt. 2"
Paul Mccartney & Wings,,Band On The Run
Paul Mccartney & Wings,,Maybe I'm Amazed
Pink Floyd,The Division Bell,Cluster One
Pink Floyd,The Division Bell,What Do You Want From Me
Pink Floyd,The Division Bell,Poles Apart
Pink Floyd,The Division Bell,Marooned
Pink Floyd,The Division Bell,A Great Day For Freedom
Pink Floyd,The Division Bell,Wearing The Inside Out
Pink Floyd,The Division Bell,Take It Back
Pink Floyd,The Division Bell,Coming Back To Life
Pink Floyd,The Division Bell,Keep Talking
Pink Floyd,The Division Bell,Lost For Words
Pink Floyd,The Division Bell,High Hopes
Pond,"Beard, Wives, Denim",Fantastic Explosion Of Time
Pond,"Beard, Wives, Denim",When It Explodes
Pond,"Beard, Wives, Denim",Elegant Design
Pond,"Beard, Wives, Denim",Sorry I Was Under The Sky
Pond,"Beard, Wives, Denim",Sun And Sea And You
Pond,"Beard, Wives, Denim",Allergies
Pond,"Beard, Wives, Denim",You Broke My Cool
Pond,"Beard, Wives, Denim",Moth Wings
Pond,"Beard, Wives, Denim",Leisure Pony
Pond,"Beard, Wives, Denim",Mystery
Pond,"Beard, Wives, Denim",Dig Brother
Pond,"Beard, Wives, Denim",Moreno's Blend
Rebelution,Courage to Grow,Feeling Alright
Rebelution,Courage to Grow,Running
The Rolling Stones,Exile On Main Street,Let It Loose
The Rolling Stones,Exile On Main Street,All Down the Line
The Rolling Stones,Exile On Main Street,Stop Breaking Down
The Rolling Stones,It's Only Rock 'n Roll,If You Can't Rock Me
The Rolling Stones,Let It Bleed,Love In Vain
The Rolling Stones,Let It Bleed,Country Honk
The Rolling Stones,Let It Bleed,Live With Me
The Rolling Stones,Let It Bleed,Midnight Rambler
The Rolling Stones,Let It Bleed,You Got The Silver
The Rolling Stones,Let It Bleed,Monkey Man
The Rolling Stones,Unplugged,You Got The Silver
The Rolling Stones,Unplugged,Blood Red Wine
Santana,Santana,Waiting
Santana,Santana,Evil Ways
Santana,Santana,Shades Of Time
Santana,Santana,Savor
Santana,Santana,Jin-go-lo-ba
Santana,Santana,Persuasion
Santana,Santana,Treat
Santana,Santana,You Just Don't Care
Santana,Santana,Soul Sacrifice
Spoon,They Want My Soul,Rent I Pay
Spoon,They Want My Soul,Rainy Taxi
Spoon,They Want My Soul,Knock Knock Knock
Spoon,They Want My Soul,Outlier
Spoon,They Want My Soul,They Want My Soul
Spoon,They Want My Soul,I Just Don t Understand
Spoon,They Want My Soul,Let Me Be Mine
Spoon,They Want My Soul,New York Kiss
Stick Figure,Set in Stone,Fire on the Horizon
Stick Figure,Set in Stone,In This Love
Stick Figure,Set in Stone,Sound of the Sea
Stick Figure,Set in Stone,Sentenced
Stick Figure,Set in Stone,Out the Door
Stick Figure,Set in Stone,Weary Eyes
Stick Figure,Set in Stone,Shadow
Stick Figure,Set in Stone,One of Those Days
Stick Figure,Set in Stone,All My Love
Stick Figure,Set in Stone,Sunshine and Rain
Sublime,Sublime,What I Got
Sublime,Sublime,Wrong Way
Sublime,Sublime,"April 29, 1992 (Miami)"
Sublime,Sublime,Santeria
Sublime,Sublime,Doin' Time
Sublime,Sublime Acoustic: Bradley Nowell & Friends,Wrong Way
Sublime With Rome,Sirens,Sirens (feat. Dirty Heads)
Mac Miller,Blue Slide Park,English Lane
Mac Miller,Blue Slide Park,Blue Slide Park
Mac Miller,Blue Slide Park,Mac Miller - Party On Fifth Ave
Mac Miller,Blue Slide Park,Party On Fifth Ave.
Mac Miller,Blue Slide Park,PA Nights
Mac Miller,Blue Slide Park,Frick Park Market
Mac Miller,Blue Slide Park,Smile Back
Mac Miller,Blue Slide Park,Under the Weather
Mac Miller,Blue Slide Park,Of the Soul
Mac Miller,Blue Slide Park,My Team
Mac Miller,Blue Slide Park,Up All Night
Mac Miller,Blue Slide Park,Loitering
Mac Miller,Blue Slide Park,Hole In My Pocket
Mac Miller,Blue Slide Park,Diamonds & Gold
Mac Miller,Blue Slide Park,Missed Calls
Mac Miller,Blue Slide Park,Man In the Hat
Mac Miller,Blue Slide Park,One Last Thing
The Black Keys,Magic Potion,Just Got to Be
The Black Keys,Magic Potion,Your Touch
The Black Keys,Magic Potion,You're the One
The Black Keys,Magic Potion,Just a Little Heat
The Black Keys,Magic Potion,Give Your Heart Away
The Black Keys,Magic Potion,Strange Desire
The Black Keys,Magic Potion,Modern Times
The Black Keys,Magic Potion,The Flame
The Black Keys,Magic Potion,Goodbye Babylon
The Black Keys,Magic Potion,Black Door
The Black Keys,Magic Potion,Elevator
The Black Keys,Thickfreakness,Thickfreakness
The Black Keys,Thickfreakness,Hard Row
The Black Keys,Thickfreakness,Set You Free
The Black Keys,Thickfreakness,Midnight In Her Eyes
The Black Keys,Thickfreakness,Have Love Will Travel
The Black Keys,Thickfreakness,Hurt Like Mine
The Black Keys,Thickfreakness,Everywhere I Go
The Black Keys,Thickfreakness,No Trust
The Black Keys,Thickfreakness,If You See Me
The Black Keys,Thickfreakness,Hold Me In Your Arms
The Black Keys,Thickfreakness,I Cry Alone
The Black Keys,Turn Blue,Weight of Love
The Black Keys,Turn Blue,In Time
The Black Keys,Turn Blue,Turn Blue
The Black Keys,Turn Blue,Fever
The Black Keys,Turn Blue,Year In Review
The Black Keys,Turn Blue,Bullet In the Brain
The Black Keys,Turn Blue,It’s Up to You Now
The Black Keys,Turn Blue,Waiting On Words
The Black Keys,Turn Blue,10 Lovers
The Black Keys,Turn Blue,In Our Prime
The Black Keys,Turn Blue,Gotta Get Away
The Black Keys,Brothers (Deluxe Version),Everlasting Light
The Black Keys,Brothers (Deluxe Version),Next Girl
The Black Keys,Brothers (Deluxe Version),Tighten Up
The Black Keys,Brothers (Deluxe Version),Howlin' for You
The Black Keys,Brothers (Deluxe Version),She's Long Gone
The Black Keys,Brothers (Deluxe Version),Black Mud
The Black Keys,Brothers (Deluxe Version),The Only One
The Black Keys,Brothers (Deluxe Version),Too Afraid to Love You
The Black Keys,Brothers (Deluxe Version),Ten Cent Pistol
The Black Keys,Brothers (Deluxe Version),Sinister Kid
The Black Keys,Brothers (Deluxe Version),The Go Getter
The Black Keys,Brothers (Deluxe Version),I'm Not the One
The Black Keys,Brothers (Deluxe Version),Unknown Brother
The Black Keys,Brothers (Deluxe Version),Never Gonna Give You Up
The Black Keys,Brothers (Deluxe Version),These Days
The Black Keys,Brothers (Deluxe Version),Howlin' for You (feat. Prins Thomas Diskomiks)
Greta Van Fleet,Anthem Of The Peaceful Army,Age Of Man
Greta Van Fleet,Anthem Of The Peaceful Army,The Cold Wind
Greta Van Fleet,Anthem Of The Peaceful Army,When The Curtain Falls
Greta Van Fleet,Anthem Of The Peaceful Army,Watching Over
Greta Van Fleet,Anthem Of The Peaceful Army,"Lover, Leaver"
Greta Van Fleet,Anthem Of The Peaceful Army,You're The One
Greta Van Fleet,Anthem Of The Peaceful Army,The New Day
Greta Van Fleet,Anthem Of The Peaceful Army,Mountain Of The Sun
Greta Van Fleet,Anthem Of The Peaceful Army,Brave New World
Greta Van Fleet,Anthem Of The Peaceful Army,Anthem
Greta Van Fleet,Anthem Of The Peaceful Army,"Lover, Leaver (Taker, Believer)"
Greta Van Fleet,Black Smoke Rising,Highway Tune
Greta Van Fleet,Black Smoke Rising,Safari Song
Greta Van Fleet,Black Smoke Rising,Flower Power
Greta Van Fleet,Black Smoke Rising,Black Smoke Rising
Greta Van Fleet,From The Fires,Safari Song
Greta Van Fleet,From The Fires,Edge Of Darkness
Greta Van Fleet,From The Fires,Flower Power
Greta Van Fleet,From The Fires,A Change Is Gonna Come
Greta Van Fleet,From The Fires,Highway Tune
Greta Van Fleet,From The Fires,Meet On The Ledge
Greta Van Fleet,From The Fires,Talk On The Street
Greta Van Fleet,From The Fires,Black Smoke Rising
Nappy Roots,,Good Day
