Artist,Album,Name
The Beatles,Magical Mystery Tour,Magical Mystery Tour
The Beatles,Magical Mystery Tour,Flying
The Beatles,Magical Mystery Tour,Blue Jay Way
The Beatles,Magical Mystery Tour,Your Mother Should Know
The Beatles,Magical Mystery Tour,Baby You're A Rich Man
The Beatles,Magical Mystery Tour,All You Need Is Love
Chicago,The Very Best of: 40th Anniversary Collection,Just You 'N' Me
Chicago,The Very Best of: 40th Anniversary Collection,Saturday in the Park
Chicago,The Very Best of: 40th Anniversary Collection,Does Anybody Really Know What Time It Is?
Chicago,The Very Best of: 40th Anniversary Collection,25 or 6 to 4
Mac DeMarco,Salad Days,Salad Days
Mac DeMarco,Salad Days,Blue Boy
Mac DeMarco,Salad Days,Brother
Mac DeMarco,Salad Days,Let Her Go
Mac DeMarco,Salad Days,Goodbye Weekend
Mac DeMarco,Salad Days,Let My Baby Stay
Mac DeMarco,Salad Days,Passing Out Pieces
Mac DeMarco,Salad Days,Treat Her Better
Mac DeMarco,Salad Days,Chamber of Reflection
Mac DeMarco,Salad Days,Go Easy
Mac DeMarco,Salad Days,Jonny's Odyssey
Outkast,Aquemini,Hold On Be Strong
Outkast,Aquemini,"Da Art of Storytellin', Pt. 1"
Outkast,Aquemini,"Da Art of Storytellin', Pt. 2"
The Rolling Stones,Exile On Main Street,Let It Loose
The Rolling Stones,Exile On Main Street,All Down the Line
The Rolling Stones,Exile On Main Street,Stop Breaking Down
The Rolling Stones,It's Only Rock 'n Roll,If You Can't Rock Me
The Rolling Stones,Unplugged,Blood Red Wine
Santana,Santana,Waiting
Santana,Santana,Evil Ways
Santana,Santana,Shades Of Time
Santana,Santana,Savor
Santana,Santana,Jin-go-lo-ba
Santana,Santana,Persuasion
Santana,Santana,Treat
Santana,Santana,You Just Don't Care
Santana,Santana,Soul Sacrifice
Stick Figure,Set in Stone,Fire on the Horizon
Stick Figure,Set in Stone,In This Love
Stick Figure,Set in Stone,Sound of the Sea
Stick Figure,Set in Stone,Sentenced
Stick Figure,Set in Stone,Out the Door
Stick Figure,Set in Stone,Weary Eyes
Stick Figure,Set in Stone,Shadow
Stick Figure,Set in Stone,One of Those Days
Stick Figure,Set in Stone,All My Love
Stick Figure,Set in Stone,Sunshine and Rain
Sublime,Sublime,What I Got
Sublime,Sublime,Wrong Way
Sublime,Sublime,"April 29, 1992 (Miami)"
Sublime,Sublime,Santeria
Sublime,Sublime,Doin' Time
Sublime,Sublime Acoustic: Bradley Nowell & Friends,Wrong Way
Sublime With Rome,Sirens,Sirens (feat. Dirty Heads)
The Black Keys,Magic Potion,Just Got to Be
The Black Keys,Magic Potion,Your Touch
The Black Keys,Magic Potion,You're the One
The Black Keys,Magic Potion,Just a Little Heat
The Black Keys,Magic Potion,Give Your Heart Away
The Black Keys,Magic Potion,Strange Desire
The Black Keys,Magic Potion,Modern Times
The Black Keys,Magic Potion,The Flame
The Black Keys,Magic Potion,Goodbye Babylon
The Black Keys,Magic Potion,Black Door
The Black Keys,Magic Potion,Elevator
The Black Keys,Thickfreakness,Thickfreakness
The Black Keys,Thickfreakness,Hard Row
The Black Keys,Thickfreakness,Set You Free
The Black Keys,Thickfreakness,Midnight In Her Eyes
The Black Keys,Thickfreakness,Have Love Will Travel
The Black Keys,Thickfreakness,Hurt Like Mine
The Black Keys,Thickfreakness,Everywhere I Go
The Black Keys,Thickfreakness,No Trust
The Black Keys,Thickfreakness,If You See Me
The Black Keys,Thickfreakness,Hold Me In Your Arms
The Black Keys,Thickfreakness,I Cry Alone
The Black Keys,Turn Blue,Weight of Love
The Black Keys,Turn Blue,In Time
The Black Keys,Turn Blue,Turn Blue
The Black Keys,Turn Blue,Fever
The Black Keys,Turn Blue,Year In Review
The Black Keys,Turn Blue,Bullet In the Brain
The Black Keys,Turn Blue,It’s Up to You Now
The Black Keys,Turn Blue,Waiting On Words
The Black Keys,Turn Blue,10 Lovers
The Black Keys,Turn Blue,In Our Prime
The Black Keys,Turn Blue,Gotta Get Away
The Black Keys,Brothers (Deluxe Version),Everlasting Light
The Black Keys,Brothers (Deluxe Version),Next Girl
The Black Keys,Brothers (Deluxe Version),Tighten Up
The Black Keys,Brothers (Deluxe Version),Howlin' for You
The Black Keys,Brothers (Deluxe Version),She's Long Gone
The Black Keys,Brothers (Deluxe Version),Black Mud
The Black Keys,Brothers (Deluxe Version),The Only One
The Black Keys,Brothers (Deluxe Version),Too Afraid to Love You
The Black Keys,Brothers (Deluxe Version),Ten Cent Pistol
The Black Keys,Brothers (Deluxe Version),Sinister Kid
The Black Keys,Brothers (Deluxe Version),The Go Getter
The Black Keys,Brothers (Deluxe Version),I'm Not the One
The Black Keys,Brothers (Deluxe Version),Unknown Brother
The Black Keys,Brothers (Deluxe Version),Never Gonna Give You Up
The Black Keys,Brothers (Deluxe Version),These Days
The Black Keys,Brothers (Deluxe Version),Howlin' for You (feat. Prins Thomas Diskomiks)
